Cor/Raça;Região e Localização do Domicílio;Ano;Sexo;Rendimento Médio Mensal no Trabalho Principal
Branca;Urbano;1995;Masculino;2.591,2
Branca;Rural;1995;Masculino;895,6
Negra;Urbano;1995;Masculino;1.274,1
Negra;Rural;1995;Masculino;489,5
Branca;Urbano;1996;Masculino;2.593,7
Branca;Rural;1996;Masculino;963,0
Negra;Urbano;1996;Masculino;1.274,1
Negra;Rural;1996;Masculino;509,4
Branca;Urbano;1997;Masculino;2.605,9
Branca;Rural;1997;Masculino;964,1
Negra;Urbano;1997;Masculino;1.271,1
Negra;Rural;1997;Masculino;491,2
Branca;Urbano;1998;Masculino;2.566,6
Branca;Rural;1998;Masculino;904,5
Negra;Urbano;1998;Masculino;1.257,9
Negra;Rural;1998;Masculino;480,7
Branca;Urbano;1999;Masculino;2.338,9
Branca;Rural;1999;Masculino;917,1
Negra;Urbano;1999;Masculino;1.173,8
Negra;Rural;1999;Masculino;458,7
Branca;Urbano;2001;Masculino;2.268,2
Branca;Rural;2001;Masculino;841,0
Negra;Urbano;2001;Masculino;1.141,1
Negra;Rural;2001;Masculino;432,2
Branca;Urbano;2002;Masculino;2.193,3
Branca;Rural;2002;Masculino;810,8
Negra;Urbano;2002;Masculino;1.127,4
Negra;Rural;2002;Masculino;417,4
Branca;Urbano;2003;Masculino;2.062,6
Branca;Rural;2003;Masculino;911,7
Negra;Urbano;2003;Masculino;1.022,7
Negra;Rural;2003;Masculino;408,6
Branca;Urbano;2004;Masculino;2.034,2
Branca;Rural;2004;Masculino;877,9
Negra;Urbano;2004;Masculino;1.071,9
Negra;Rural;2004;Masculino;484,9
Branca;Urbano;2005;Masculino;2.116,1
Branca;Rural;2005;Masculino;855,6
Negra;Urbano;2005;Masculino;1.128,8
Negra;Rural;2005;Masculino;510,9
Branca;Urbano;2006;Masculino;2.287,2
Branca;Rural;2006;Masculino;927,2
Negra;Urbano;2006;Masculino;1.206,6
Negra;Rural;2006;Masculino;530,2
Branca;Urbano;2007;Masculino;2.346,5
Branca;Rural;2007;Masculino;1.025,2
Negra;Urbano;2007;Masculino;1.269,5
Negra;Rural;2007;Masculino;563,5
Branca;Urbano;2008;Masculino;2.375,8
Branca;Rural;2008;Masculino;1.031,3
Negra;Urbano;2008;Masculino;1.326,7
Negra;Rural;2008;Masculino;589,4
Branca;Urbano;2009;Masculino;2.396,7
Branca;Rural;2009;Masculino;1.061,4
Negra;Urbano;2009;Masculino;1.404,2
Negra;Rural;2009;Masculino;610,7
Branca;Urbano;2011;Masculino;2.563,3
Branca;Rural;2011;Masculino;1.124,5
Negra;Urbano;2011;Masculino;1.517,8
Negra;Rural;2011;Masculino;656,8
Branca;Urbano;2012;Masculino;2.755,6
Branca;Rural;2012;Masculino;1.273,7
Negra;Urbano;2012;Masculino;1.602,7
Negra;Rural;2012;Masculino;654,7
Branca;Urbano;2013;Masculino;2.855,8
Branca;Rural;2013;Masculino;1.340,5
Negra;Urbano;2013;Masculino;1.668,0
Negra;Rural;2013;Masculino;723,5
Branca;Urbano;2014;Masculino;2.844,8
Branca;Rural;2014;Masculino;1.294,7
Negra;Urbano;2014;Masculino;1.697,9
Negra;Rural;2014;Masculino;751,7
Branca;Urbano;2015;Masculino;2.713,2
Branca;Rural;2015;Masculino;1.241,7
Negra;Urbano;2015;Masculino;1.614,1
Negra;Rural;2015;Masculino;714,4
Branca;Urbano;1995;Feminino;1.385,0
Branca;Rural;1995;Feminino;222,3
Negra;Urbano;1995;Feminino;726,5
Negra;Rural;1995;Feminino;149,9
Branca;Urbano;1996;Feminino;1.493,6
Branca;Rural;1996;Feminino;272,9
Negra;Urbano;1996;Feminino;768,6
Negra;Rural;1996;Feminino;183,0
Branca;Urbano;1997;Feminino;1.493,1
Branca;Rural;1997;Feminino;241,5
Negra;Urbano;1997;Feminino;755,9
Negra;Rural;1997;Feminino;163,9
Branca;Urbano;1998;Feminino;1.491,2
Branca;Rural;1998;Feminino;321,7
Negra;Urbano;1998;Feminino;763,6
Negra;Rural;1998;Feminino;184,8
Branca;Urbano;1999;Feminino;1.404,6
Branca;Rural;1999;Feminino;300,1
Negra;Urbano;1999;Feminino;719,2
Negra;Rural;1999;Feminino;174,1
Branca;Urbano;2001;Feminino;1.381,5
Branca;Rural;2001;Feminino;256,6
Negra;Urbano;2001;Feminino;724,4
Negra;Rural;2001;Feminino;154,5
Branca;Urbano;2002;Feminino;1.362,2
Branca;Rural;2002;Feminino;238,1
Negra;Urbano;2002;Feminino;714,5
Negra;Rural;2002;Feminino;147,9
Branca;Urbano;2003;Feminino;1.245,1
Branca;Rural;2003;Feminino;251,3
Negra;Urbano;2003;Feminino;676,1
Negra;Rural;2003;Feminino;141,4
Branca;Urbano;2004;Feminino;1.261,8
Branca;Rural;2004;Feminino;272,7
Negra;Urbano;2004;Feminino;704,5
Negra;Rural;2004;Feminino;168,9
Branca;Urbano;2005;Feminino;1.345,7
Branca;Rural;2005;Feminino;276,3
Negra;Urbano;2005;Feminino;733,2
Negra;Rural;2005;Feminino;185,0
Branca;Urbano;2006;Feminino;1.444,8
Branca;Rural;2006;Feminino;347,1
Negra;Urbano;2006;Feminino;802,4
Negra;Rural;2006;Feminino;194,3
Branca;Urbano;2007;Feminino;1.470,4
Branca;Rural;2007;Feminino;357,0
Negra;Urbano;2007;Feminino;856,3
